CountryName,YearCollected,TimePeriod1,TimePeriod2,TimePeriod3,TimePeriod4,Pre-Post1991,Pre-Post1998,Pre-Post2001,Pos-Neg,BdDetected,TotalTested,BdNeg,latitude,longitude,Publication,DataSourceType,Source
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-8.49622,35.94239,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Positive,2,6,4,-8.49622,35.94239,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,7,7,-8.49622,35.94239,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Positive,1,5,4,-8.17033,36.00167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-8.17033,36.00167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,2,2,-8.17033,36.00167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Positive,2,14,12,-8.17033,36.00167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-8.17033,36.00167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,3,3,-8.17033,36.00167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-8.11199,36.61086,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,2,2,-8.11199,36.61086,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,3,3,-8.11199,36.61086,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,2,2,-8.11199,36.61086,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,16,16,-8.11199,36.61086,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Positive,5,19,14,-8.515,35.86499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Positive,2,28,26,-8.515,35.86499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,2,2,-8.515,35.86499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,3,3,-8.515,35.86499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-8.515,35.86499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-8.515,35.86499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-7.84999,36.37499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,32,32,-7.84999,36.37499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,5,5,-7.84999,36.37499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-7.84999,36.37499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,8,8,-7.84999,36.37499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,3,3,-7.84999,36.37499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,1,1,-7.84999,36.37499,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,23,23,-8.37167,35.98167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,20,20,-8.37167,35.98167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,4,4,-8.37167,35.98167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,7,7,-8.37167,35.98167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,7,7,-8.37167,35.98167,Moyer and Weldon 2006,Grey literature,Bdmaps
Tanzania,2004,2001-2010,2001-2005,2001-2005,2001-2005,Post-1991,Post-1998,Post-2001,Negative,0,3,3,-8.37167,35.98167,Moyer and Weldon 2006,Grey literature,Bdmaps
